"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180326026",1400,33419,"矩形坯",46,57.9572,11,"2018-03-26 09:28:30","2018-03-26 09:28:30"
"CK20180326027",702,33419,"矩形坯",46,57.9572,11,"2018-03-26 09:29:38","2018-03-26 09:29:38"
"CK20180326028",1149,3115,"冷卷",3,13.65,11,"2018-03-26 09:30:27","2018-03-26 09:30:36"
"CK20180326029",502,33419,"矩形坯",46,57.9572,11,"2018-03-26 09:30:35","2018-03-26 09:30:43"
"CK20180326030",501,3138,"硬线",18,23.1,11,"2018-03-26 09:33:55","2018-03-26 09:34:20"
"CK20180326031",1400,33419,"矩形坯",46,57.1711,11,"2018-03-26 09:35:20","2018-03-26 09:35:20"
"CK20180326032",702,33419,"矩形坯",46,57.1711,11,"2018-03-26 09:36:08","2018-03-26 09:36:08"
"CKW20180326002",427,394,"大梁卷",1,14.875,11,"2018-03-26 09:36:15","2018-03-26 09:36:15"
"CK20180326033",502,33419,"矩形坯",46,57.1711,11,"2018-03-26 09:37:12","2018-03-26 09:37:21"
"CK20180326040",501,3138,"硬线",18,23.1,11,"2018-03-26 09:44:41","2018-03-26 09:44:49"
"CK20180326034",501,3109,"热卷",1,16.212,11,"2018-03-26 09:38:04","2018-03-26 09:47:23"
"CK20180326041",1801,323,"无缝管",29,4.0054,11,"2018-03-26 09:49:56","2018-03-26 09:50:03"
"CKW20180326003",194,3109,"热卷",2,41.9615,11,"2018-03-26 09:50:12","2018-03-26 09:50:12"
"CK20180326042",967,33330,"热轧带钢",14,40.46,11,"2018-03-26 09:51:35","2018-03-26 09:51:45"
"CK20180326043",292,3109,"热卷",1,11.872,11,"2018-03-26 09:55:42","2018-03-26 09:55:42"
"CKW20180326004",1734,394,"大梁卷",3,59.78,11,"2018-03-26 09:58:20","2018-03-26 09:58:20"
"CK20180326046",967,33330,"热轧带钢",12,34.6682,11,"2018-03-26 09:58:24","2018-03-26 09:58:41"
"CK20180326035",1346,3115,"冷卷",3,16.373,11,"2018-03-26 09:41:45","2018-03-26 09:58:53"
"CK20180326036",1346,3115,"冷卷",4,22.904,11,"2018-03-26 09:43:51","2018-03-26 09:59:13"
"CK20180326054",501,3138,"硬线",18,23.1,11,"2018-03-26 10:06:57","2018-03-26 10:07:06"
"CK20180326055",2229,33527,"盘圆",3,4.1986,11,"2018-03-26 10:08:49","2018-03-26 10:09:34"
"CK20180326062",1474,372,"普碳中板",31,52.5714,11,"2018-03-26 10:16:26","2018-03-26 10:16:26"
"CK20180326061",1346,3115,"冷卷",3,16.597,11,"2018-03-26 10:13:01","2018-03-26 10:18:39"
"CKW20180326005",220,3109,"热卷",4,58.2638,11,"2018-03-26 10:22:27","2018-03-26 10:22:27"
"CK20180326066",501,3128,"螺纹钢",31,49,11,"2018-03-26 10:26:14","2018-03-26 10:26:22"
"CK20180326067",662,3105,"低合金卷",2,26.432,11,"2018-03-26 10:33:43","2018-03-26 10:33:43"
"CK20180326070",169,3105,"低合金卷",10,198.9435,11,"2018-03-26 10:37:22","2018-03-26 10:37:22"
"CK20180326070",169,3109,"热卷",40,300.2545,11,"2018-03-26 10:37:22","2018-03-26 10:37:22"
"CK20180326068",967,33330,"热轧带钢",12,34.4281,11,"2018-03-26 10:38:48","2018-03-26 10:38:58"
"CKW20180326006",253,3109,"热卷",1,20.5695,11,"2018-03-26 10:39:48","2018-03-26 10:39:48"
"CKW20180326007",701,33320,"镀铝锌卷",1,3.5,11,"2018-03-26 10:43:15","2018-03-26 10:43:15"
"CKW20180326008",2403,33320,"镀铝锌卷",6,21.889,11,"2018-03-26 10:47:39","2018-03-26 10:47:39"
"CK20180326073",501,3128,"螺纹钢",27,42,11,"2018-03-26 10:50:30","2018-03-26 10:50:38"
"CKW20180326009",583,3109,"热卷",1,11.872,11,"2018-03-26 10:59:52","2018-03-26 10:59:52"
"CKW20180326010",273,3115,"冷卷",2,9.317,11,"2018-03-26 11:02:18","2018-03-26 11:02:18"
"CKW20180326010",273,3109,"热卷",1,7.0665,11,"2018-03-26 11:02:18","2018-03-26 11:02:18"
"CK20180326077",2403,33320,"镀铝锌卷",5,21.707,11,"2018-03-26 11:09:19","2018-03-26 11:09:19"
"CK20180326076",973,3115,"冷卷",6,28.455,11,"2018-03-26 11:09:09","2018-03-26 11:12:08"
"CK20180326078",973,3115,"冷卷",1,3.451,11,"2018-03-26 11:12:29","2018-03-26 11:12:45"
"CK20180326078",973,33320,"镀铝锌卷",1,3.654,11,"2018-03-26 11:12:29","2018-03-26 11:12:45"
"CKW20180326011",2149,33320,"镀铝锌卷",5,21.707,11,"2018-03-26 11:13:19","2018-03-26 11:13:19"
"CKW20180326012",1774,3115,"冷卷",2,14.161,11,"2018-03-26 11:19:34","2018-03-26 11:19:34"
"CK20180326085",501,36,"盘螺",25,32.8125,11,"2018-03-26 11:22:35","2018-03-26 11:22:51"
"CK20180326089",177,3115,"冷卷",1,8.26,11,"2018-03-26 11:24:02","2018-03-26 11:24:02"
"CK20180326065",2494,3115,"冷卷",8,66.927,11,"2018-03-26 10:24:36","2018-03-26 11:24:50"
"CKW20180326013",1425,3109,"热卷",1,6.027,11,"2018-03-26 11:25:58","2018-03-26 11:25:58"
"CKW20180326014",216,3109,"热卷",1,6.048,11,"2018-03-26 11:28:12","2018-03-26 11:28:12"
"CKW20180326015",297,3109,"热卷",1,6.587,11,"2018-03-26 11:30:40","2018-03-26 11:30:40"
"CKW20180326016",194,3109,"热卷",1,14.707,11,"2018-03-26 11:31:17","2018-03-26 11:31:17"
"CK20180326103",189,33320,"镀铝锌卷",7,29.281,11,"2018-03-26 11:31:21","2018-03-26 11:31:21"
"CK20180326104",273,3115,"冷卷",1,5.936,11,"2018-03-26 11:33:57","2018-03-26 11:33:57"
"CKW20180326017",1901,3115,"冷卷",1,6.083,11,"2018-03-26 11:35:16","2018-03-26 11:35:16"
"CK20180326106",189,33320,"镀铝锌卷",51,126.791,11,"2018-03-26 11:36:36","2018-03-26 11:36:36"
"CKW20180326018",1901,3115,"冷卷",1,6.097,11,"2018-03-26 11:38:59","2018-03-26 11:38:59"
"CK20180326108",1400,3115,"冷卷",1,5.082,11,"2018-03-26 11:43:47","2018-03-26 11:43:47"
"CK20180326108",1400,3114,"冷板",2,7.91,11,"2018-03-26 11:43:47","2018-03-26 11:43:47"
"CK20180326107",297,3115,"冷卷",2,10.087,11,"2018-03-26 11:44:07","2018-03-26 11:44:07"
"CK20180326110",297,3115,"冷卷",1,3.955,11,"2018-03-26 11:45:05","2018-03-26 11:45:05"
"CKW20180326019",1202,3105,"低合金卷",1,8.246,11,"2018-03-26 11:45:06","2018-03-26 11:45:06"
"CKW20180326020",193,3109,"热卷",1,14.749,11,"2018-03-26 11:45:12","2018-03-26 11:45:12"
"CK20180326113",297,3105,"低合金卷",1,21.2905,11,"2018-03-26 11:48:03","2018-03-26 11:48:03"
"CK20180326115",952,316,"H型钢",11,40.7484,11,"2018-03-26 11:51:22","2018-03-26 11:51:22"
"CKW20180326021",662,3109,"热卷",1,20.93,11,"2018-03-26 11:51:29","2018-03-26 11:51:29"
"CKW20180326022",1901,3115,"冷卷",1,3.955,11,"2018-03-26 11:57:46","2018-03-26 11:57:46"
"CKW20180326023",2156,3105,"低合金卷",1,20.3665,11,"2018-03-26 12:00:35","2018-03-26 12:00:35"
"CKW20180326024",1985,33320,"镀铝锌卷",9,63.665,11,"2018-03-26 12:03:21","2018-03-26 12:03:21"
"CK20180326119",501,36,"盘螺",24,32.8412,11,"2018-03-26 12:04:36","2018-03-26 12:04:58"
"CK20180326120",2517,3133,"圆钢",25,41.2006,11,"2018-03-26 12:09:13","2018-03-26 12:09:29"
"CK20180326121",297,3114,"冷板",3,11.011,11,"2018-03-26 12:09:49","2018-03-26 12:09:49"
"CKW20180326025",1569,3109,"热卷",1,15.806,11,"2018-03-26 12:10:48","2018-03-26 12:10:48"
"CK20180326122",292,3105,"低合金卷",4,23.884,11,"2018-03-26 12:10:56","2018-03-26 12:10:56"
"CK20180326123",169,3115,"冷卷",5,19.733,11,"2018-03-26 12:12:02","2018-03-26 12:12:02"
"CKW20180326026",318,3115,"冷卷",1,6.811,11,"2018-03-26 12:12:23","2018-03-26 12:12:23"
"CK20180326124",292,3105,"低合金卷",1,5.964,11,"2018-03-26 12:19:41","2018-03-26 12:19:41"
"CK20180326114",702,3119,"镀锌卷",2,8.68,11,"2018-03-26 11:50:19","2018-03-26 12:37:55"
"CK20180326130",501,36,"盘螺",25,33.25,11,"2018-03-26 12:51:36","2018-03-26 12:51:45"
"CK20180326134",1400,3114,"冷板",2,7.462,11,"2018-03-26 12:54:43","2018-03-26 12:54:43"
"CK20180326135",967,33330,"热轧带钢",12,43.806,11,"2018-03-26 12:56:20","2018-03-26 12:56:32"
"CK20180326136",1970,318,"连铸方坯",2,10.2585,11,"2018-03-26 12:57:35","2018-03-26 12:57:48"
"CK20180326137",501,36,"盘螺",26,34.125,11,"2018-03-26 13:00:22","2018-03-26 13:00:31"
"CKW20180326027",948,3109,"热卷",1,18.2875,11,"2018-03-26 13:00:41","2018-03-26 13:00:41"
"CK20180326133",1699,3115,"冷卷",1,5.964,11,"2018-03-26 12:55:01","2018-03-26 13:01:59"
"CKW20180326028",948,3105,"低合金卷",2,36.0885,11,"2018-03-26 13:02:00","2018-03-26 13:02:00"
"CK20180326129",1699,3115,"冷卷",5,29.771,11,"2018-03-26 12:48:38","2018-03-26 13:02:08"
"CK20180326126",1699,3115,"冷卷",3,17.899,11,"2018-03-26 12:34:24","2018-03-26 13:02:17"
"CK20180326138",177,3115,"冷卷",2,11.48,11,"2018-03-26 13:03:58","2018-03-26 13:03:58"
"CKW20180326029",216,3109,"热卷",1,7.525,11,"2018-03-26 13:09:42","2018-03-26 13:09:42"
"CK20180326125",1542,3105,"低合金卷",1,20.2195,11,"2018-03-26 12:30:48","2018-03-26 13:11:20"
"CK20180326125",1542,379,"花纹卷",3,38.36,11,"2018-03-26 12:30:48","2018-03-26 13:11:20"
"CK20180326141",972,3114,"冷板",1,3.829,11,"2018-03-26 13:11:45","2018-03-26 13:11:45"
"CKW20180326030",2467,3109,"热卷",3,54.5545,11,"2018-03-26 13:14:14","2018-03-26 13:14:14"
"CK20180326145",501,37,"槽钢",15,47.6,11,"2018-03-26 13:22:55","2018-03-26 13:23:04"
"CK20180326102",1149,3115,"冷卷",4,15.281,11,"2018-03-26 11:30:31","2018-03-26 13:23:15"
"CK20180326128",1149,3115,"冷卷",5,20.314,11,"2018-03-26 12:46:20","2018-03-26 13:23:24"
"CK20180326146",1149,3115,"冷卷",4,19.551,11,"2018-03-26 13:23:39","2018-03-26 13:23:51"
"CK20180326151",1851,33386,"普碳中厚板",1,5.5125,11,"2018-03-26 13:25:06","2018-03-26 13:25:06"
"CK20180326155",1883,3109,"热卷",1,11.116,11,"2018-03-26 13:26:21","2018-03-26 13:26:21"
"CK20180326152",973,3115,"冷卷",9,39.963,11,"2018-03-26 13:26:19","2018-03-26 13:26:30"
"CK20180326159",2539,3115,"冷卷",2,9.45,11,"2018-03-26 13:29:31","2018-03-26 13:29:31"
"CKW20180326031",1774,3115,"冷卷",3,26.593,11,"2018-03-26 13:36:41","2018-03-26 13:36:41"
"CK20180326142",177,3115,"冷卷",1,6.3245,11,"2018-03-26 13:20:51","2018-03-26 13:39:04"
"CK20180326164",471,3114,"冷板",1,3.92,11,"2018-03-26 13:40:39","2018-03-26 13:40:50"
"CK20180326166",297,3115,"冷卷",1,5.348,11,"2018-03-26 13:50:10","2018-03-26 13:50:10"
"CK20180326167",501,3138,"硬线",18,23.1,11,"2018-03-26 13:50:52","2018-03-26 13:51:01"
"CK20180326170",297,3115,"冷卷",1,5.194,11,"2018-03-26 13:51:32","2018-03-26 13:51:32"
"CKW20180326032",948,3105,"低合金卷",1,21.2905,11,"2018-03-26 13:53:58","2018-03-26 13:53:58"
"CKW20180326033",1904,3109,"热卷",1,20.8005,11,"2018-03-26 13:54:57","2018-03-26 13:54:57"
"CK20180326173",501,36,"盘螺",16,21,11,"2018-03-26 13:55:17","2018-03-26 13:55:28"
"CK20180326174",1462,33436,"木方",10,12.047,11,"2018-03-26 13:57:28","2018-03-26 13:57:38"
"CK20180326175",1462,33436,"木方",3,2.6768,11,"2018-03-26 13:57:50","2018-03-26 13:58:00"
"CK20180326163",193,3105,"低合金卷",3,18.459,11,"2018-03-26 13:37:14","2018-03-26 14:03:17"
"CK20180326182",1241,33320,"镀铝锌卷",3,17.829,11,"2018-03-26 14:03:56","2018-03-26 14:04:12"
"CKW20180326034",273,3105,"低合金卷",1,18.3995,11,"2018-03-26 14:06:01","2018-03-26 14:06:01"
"CKW20180326035",1476,3109,"热卷",1,6.755,11,"2018-03-26 14:08:22","2018-03-26 14:08:22"
"CKW20180326037",273,3105,"低合金卷",1,18.3225,11,"2018-03-26 14:12:09","2018-03-26 14:12:09"
"CK20180326189",1400,3105,"低合金卷",4,78.253,11,"2018-03-26 14:15:29","2018-03-26 14:15:29"
"CK20180326179",273,3109,"热卷",3,35.427,11,"2018-03-26 14:01:29","2018-03-26 14:15:45"
"CK20180326190",1400,3105,"低合金卷",1,21.2765,11,"2018-03-26 14:17:00","2018-03-26 14:17:00"
"CK20180326192",345,3120,"酸洗卷",1,3.15,11,"2018-03-26 14:18:06","2018-03-26 14:18:06"
"CK20180326193",701,33320,"镀铝锌卷",1,4.277,11,"2018-03-26 14:18:52","2018-03-26 14:18:52"
"CKW20180326038",194,3109,"热卷",1,20.1215,11,"2018-03-26 14:19:33","2018-03-26 14:19:33"
"CK20180326194",292,3109,"热卷",1,19.4005,11,"2018-03-26 14:20:22","2018-03-26 14:20:22"
"CKW20180326040",1755,3115,"冷卷",3,12.383,11,"2018-03-26 14:21:50","2018-03-26 14:21:50"
"CKW20180326039",273,3115,"冷卷",1,7.014,11,"2018-03-26 14:21:55","2018-03-26 14:21:55"
"CK20180326199",967,33330,"热轧带钢",14,40.39,11,"2018-03-26 14:24:29","2018-03-26 14:24:38"
"CKW20180326041",250,3115,"冷卷",1,5.194,11,"2018-03-26 14:24:45","2018-03-26 14:24:45"
"CK20180326200",273,3115,"冷卷",1,8.582,11,"2018-03-26 14:24:50","2018-03-26 14:24:50"
"CKW20180326042",345,3115,"冷卷",3,11.172,11,"2018-03-26 14:27:09","2018-03-26 14:27:09"
"CK20180326203",2403,33320,"镀铝锌卷",6,21.266,11,"2018-03-26 14:28:43","2018-03-26 14:28:43"
"CK20180326205",2153,3114,"冷板",1,3.885,11,"2018-03-26 14:32:14","2018-03-26 14:32:14"
"CKW20180326043",1850,3115,"冷卷",1,8.582,11,"2018-03-26 14:32:24","2018-03-26 14:32:24"
"CK20180326212",501,36,"盘螺",18,23.6831,11,"2018-03-26 14:37:12","2018-03-26 14:37:22"
"CK20180326213",501,36,"盘螺",21,28.175,11,"2018-03-26 14:37:49","2018-03-26 14:38:00"
"CK20180326214",1632,323,"无缝管",186,17.4013,11,"2018-03-26 14:39:28","2018-03-26 14:39:40"
"CKW20180326044",2149,33320,"镀铝锌卷",1,4.277,11,"2018-03-26 14:40:05","2018-03-26 14:40:05"
"CK20180326221",501,376,"低合金中板",7,34.6619,11,"2018-03-26 14:43:40","2018-03-26 14:43:50"
"CK20180326225",1474,372,"普碳中板",6,14.7847,11,"2018-03-26 14:45:24","2018-03-26 14:45:24"
"CK20180326225",1474,3105,"低合金卷",1,18.116,11,"2018-03-26 14:45:24","2018-03-26 14:45:24"
"CK20180326225",1474,379,"花纹卷",1,12.0015,11,"2018-03-26 14:45:24","2018-03-26 14:45:24"
"CK20180326225",1474,376,"低合金中板",6,9.961,11,"2018-03-26 14:45:24","2018-03-26 14:45:24"
"CK20180326229",2221,379,"花纹卷",1,12.0015,11,"2018-03-26 14:49:22","2018-03-26 14:49:22"
"CK20180326230",2221,3105,"低合金卷",1,18.116,11,"2018-03-26 14:52:30","2018-03-26 14:52:30"
"CKW20180326045",194,379,"花纹卷",1,14.574,11,"2018-03-26 14:52:44","2018-03-26 14:52:44"
"CK20180326232",2221,376,"低合金中板",6,9.961,11,"2018-03-26 14:53:36","2018-03-26 14:53:36"
"CK20180326233",297,3115,"冷卷",2,7.938,11,"2018-03-26 14:54:45","2018-03-26 14:54:45"
"CK20180326236",297,3115,"冷卷",4,14.224,11,"2018-03-26 14:55:49","2018-03-26 14:55:49"
"CK20180326234",967,33330,"热轧带钢",12,34.4043,11,"2018-03-26 14:56:02","2018-03-26 14:56:12"
"CK20180326235",972,3115,"冷卷",2,9.835,11,"2018-03-26 14:56:25","2018-03-26 14:56:25"
"CK20180326241",2425,323,"无缝管",70,22.2761,11,"2018-03-26 14:59:04","2018-03-26 14:59:18"
"CK20180326244",501,36,"盘螺",21,28.175,11,"2018-03-26 14:59:45","2018-03-26 14:59:57"
"CKW20180326046",273,3105,"低合金卷",1,18.3225,11,"2018-03-26 15:01:07","2018-03-26 15:01:07"
"CK20180326253",2221,372,"普碳中板",6,14.7847,11,"2018-03-26 15:02:56","2018-03-26 15:02:56"
"CK20180326254",427,3115,"冷卷",3,11.62,11,"2018-03-26 15:05:27","2018-03-26 15:05:27"
"CKW20180326047",194,3109,"热卷",1,15.274,11,"2018-03-26 15:06:55","2018-03-26 15:06:55"
"CK20180326261",427,3115,"冷卷",5,23.765,11,"2018-03-26 15:07:18","2018-03-26 15:07:18"
"CK20180326215",273,3120,"酸洗卷",1,4.2,11,"2018-03-26 14:39:51","2018-03-26 15:07:43"
"CKW20180326048",242,3105,"低合金卷",1,18.116,11,"2018-03-26 15:09:10","2018-03-26 15:09:10"
"CKW20180326049",194,3109,"热卷",1,14.595,11,"2018-03-26 15:11:05","2018-03-26 15:11:05"
"CK20180326218",1346,3115,"冷卷",5,22.848,11,"2018-03-26 14:42:49","2018-03-26 15:13:28"
"CK20180326266",1346,3114,"冷板",5,17.787,11,"2018-03-26 15:13:54","2018-03-26 15:14:05"
"CK20180326228",1668,3115,"冷卷",2,9.45,11,"2018-03-26 14:49:59","2018-03-26 15:16:18"
"CKW20180326050",760,3109,"热卷",2,39.5465,11,"2018-03-26 15:18:04","2018-03-26 15:18:04"
"CK20180326188",1590,3105,"低合金卷",1,11.921,11,"2018-03-26 14:12:39","2018-03-26 15:18:46"
"CK20180326263",1668,3109,"热卷",1,20.7508,11,"2018-03-26 15:11:56","2018-03-26 15:21:47"
"CK20180326231",1476,3109,"热卷",3,22.113,11,"2018-03-26 14:53:50","2018-03-26 15:22:44"
"CK20180326262",1346,3115,"冷卷",4,16.506,11,"2018-03-26 15:09:16","2018-03-26 15:23:53"
"CK20180326275",501,3138,"硬线",18,23.1,11,"2018-03-26 15:24:39","2018-03-26 15:25:05"
"CK20180326286",297,3115,"冷卷",3,16.17,11,"2018-03-26 15:26:18","2018-03-26 15:26:18"
"CK20180326290",297,3115,"冷卷",1,5.243,11,"2018-03-26 15:27:51","2018-03-26 15:27:51"
"CK20180326289",1761,33386,"普碳中厚板",1,3.3726,11,"2018-03-26 15:27:58","2018-03-26 15:28:11"
"CK20180326289",1761,372,"普碳中板",5,17.5714,11,"2018-03-26 15:27:58","2018-03-26 15:28:11"
"CKW20180326051",273,3109,"热卷",1,14.224,11,"2018-03-26 15:29:04","2018-03-26 15:29:04"
"CK20180326267",972,3115,"冷卷",1,3.843,11,"2018-03-26 15:14:50","2018-03-26 15:30:37"
"CK20180326299",273,3109,"热卷",1,10.598,11,"2018-03-26 15:30:49","2018-03-26 15:30:49"
"CK20180326298",972,3114,"冷板",1,4.34,11,"2018-03-26 15:30:50","2018-03-26 15:31:02"
"CKW20180326052",789,33320,"镀铝锌卷",2,12.845,11,"2018-03-26 15:31:04","2018-03-26 15:31:04"
"CK20180326264",427,3115,"冷卷",2,7.812,11,"2018-03-26 15:13:05","2018-03-26 15:31:17"
"CK20180326300",1425,3114,"冷板",1,3.829,11,"2018-03-26 15:31:37","2018-03-26 15:31:49"
"CKW20180326053",1476,3109,"热卷",1,6.776,11,"2018-03-26 15:33:38","2018-03-26 15:33:38"
"CKW20180326054",1476,3109,"热卷",1,19.789,11,"2018-03-26 15:36:16","2018-03-26 15:36:16"
"CK20180326309",1400,33320,"镀铝锌卷",8,54.915,11,"2018-03-26 15:37:10","2018-03-26 15:37:10"
"CK20180326312",972,3115,"冷卷",4,13.461,11,"2018-03-26 15:37:28","2018-03-26 15:37:28"
"CK20180326312",972,3114,"冷板",3,11.711,11,"2018-03-26 15:37:28","2018-03-26 15:37:28"
"CK20180326308",967,33330,"热轧带钢",12,34.3847,11,"2018-03-26 15:37:29","2018-03-26 15:37:47"
"CK20180326313",1400,33320,"镀铝锌卷",3,21.903,11,"2018-03-26 15:39:04","2018-03-26 15:39:04"
"CK20180326314",1400,3109,"热卷",3,17.318,11,"2018-03-26 15:39:12","2018-03-26 15:39:12"
"CK20180326319",1400,3115,"冷卷",1,3.997,11,"2018-03-26 15:40:18","2018-03-26 15:40:18"
"CK20180326319",1400,3114,"冷板",1,3.941,11,"2018-03-26 15:40:18","2018-03-26 15:40:18"
"CKW20180326055",2169,379,"花纹卷",1,12.0015,11,"2018-03-26 15:40:22","2018-03-26 15:40:22"
"CK20180326318",972,3115,"冷卷",1,3.78,11,"2018-03-26 15:40:25","2018-03-26 15:40:25"
"CK20180326322",192,3115,"冷卷",2,8.015,11,"2018-03-26 15:40:47","2018-03-26 15:40:47"
"CK20180326323",192,379,"花纹卷",5,45.346,11,"2018-03-26 15:41:39","2018-03-26 15:41:39"
"CK20180326326",1905,3109,"热卷",5,51.772,11,"2018-03-26 15:42:16","2018-03-26 15:42:16"
"CKW20180326056",273,3109,"热卷",1,6.6325,11,"2018-03-26 15:43:37","2018-03-26 15:43:37"
"CK20180326325",433,376,"低合金中板",2,3.9858,11,"2018-03-26 15:43:27","2018-03-26 15:43:37"
"CKW20180326057",194,3109,"热卷",1,14.63,11,"2018-03-26 15:46:09","2018-03-26 15:46:09"
"CK20180326327",967,33330,"热轧带钢",14,40.082,11,"2018-03-26 15:50:09","2018-03-26 15:50:20"
"CK20180326315",292,3109,"热卷",3,44.051,11,"2018-03-26 15:40:15","2018-03-26 15:50:53"
"CK20180326293",273,3105,"低合金卷",1,14.7945,11,"2018-03-26 15:29:10","2018-03-26 15:51:09"
"CKW20180326058",410,3115,"冷卷",1,5.684,11,"2018-03-26 15:52:06","2018-03-26 15:52:06"
"CK20180326335",501,36,"盘螺",28,37.5669,11,"2018-03-26 15:54:56","2018-03-26 15:55:06"
"CK20180326324",216,3109,"热卷",1,19.3795,11,"2018-03-26 15:42:25","2018-03-26 15:56:27"
"CK20180326338",1699,3115,"冷卷",2,12.299,11,"2018-03-26 15:56:18","2018-03-26 15:56:31"
"CK20180326339",1699,3115,"冷卷",6,36.001,11,"2018-03-26 15:56:46","2018-03-26 15:56:55"
"CK20180326345",1161,33320,"镀铝锌卷",1,6.237,11,"2018-03-26 15:58:34","2018-03-26 15:58:34"
"CK20180326347",1905,3109,"热卷",2,22.61,11,"2018-03-26 15:58:45","2018-03-26 15:58:45"
"CK20180326346",2333,323,"无缝管",7,24.3698,11,"2018-03-26 15:59:17","2018-03-26 15:59:26"
"CKW20180326059",248,3109,"热卷",1,11.361,11,"2018-03-26 16:00:03","2018-03-26 16:00:03"
"CK20180326351",297,3115,"冷卷",1,4.431,11,"2018-03-26 16:00:38","2018-03-26 16:00:38"
"CK20180326352",1474,3115,"冷卷",4,22.372,11,"2018-03-26 16:00:55","2018-03-26 16:00:55"
"CK20180326352",1474,3114,"冷板",2,11.1755,11,"2018-03-26 16:00:55","2018-03-26 16:00:55"
"CK20180326350",2333,323,"无缝管",1,4.732,11,"2018-03-26 16:00:48","2018-03-26 16:00:56"
"CK20180326355",1400,3105,"低合金卷",1,18.0215,11,"2018-03-26 16:01:44","2018-03-26 16:01:44"
"CKW20180326060",216,3109,"热卷",3,21.861,11,"2018-03-26 16:01:59","2018-03-26 16:01:59"
"CK20180326362",169,3115,"冷卷",3,13.37,11,"2018-03-26 16:03:07","2018-03-26 16:03:07"
"CKW20180326061",948,3105,"低合金卷",3,54.3445,11,"2018-03-26 16:05:07","2018-03-26 16:05:07"
"CK20180326361",1474,376,"低合金中板",8,18.3512,11,"2018-03-26 16:05:19","2018-03-26 16:05:19"
"CK20180326369",297,3115,"冷卷",5,29.092,11,"2018-03-26 16:07:56","2018-03-26 16:07:56"
"CK20180326363",297,3115,"冷卷",4,17.318,11,"2018-03-26 16:09:10","2018-03-26 16:09:10"
"CK20180326365",1737,33414,"低合金中厚板",1,4.9252,11,"2018-03-26 16:09:41","2018-03-26 16:10:06"
"CK20180326371",297,3114,"冷板",4,15.463,11,"2018-03-26 16:10:51","2018-03-26 16:10:51"
"CK20180326372",948,372,"普碳中板",5,12.7841,11,"2018-03-26 16:12:27","2018-03-26 16:12:41"
"CK20180326376",297,3114,"冷板",5,19.418,11,"2018-03-26 16:13:39","2018-03-26 16:13:39"
"CKW20180326062",948,3105,"低合金卷",2,38.066,11,"2018-03-26 16:15:23","2018-03-26 16:15:23"
"CKW20180326063",948,3105,"低合金卷",1,17.997,11,"2018-03-26 16:17:24","2018-03-26 16:17:24"
"CKW20180326064",1598,33320,"镀铝锌卷",3,18.921,11,"2018-03-26 16:17:51","2018-03-26 16:17:51"
"CK20180326381",501,3138,"硬线",24,30.8,11,"2018-03-26 16:18:59","2018-03-26 16:19:09"
