"r2014","r2015","r2016","r2017","r2018","r2019","r2020","r2021","r2022"
"RK20180128239",192,379,"花纹卷",1,14.742,2,"2018-01-29 03:17:50","2018-01-29 03:17:50"
"RK20180128151",194,3105,"低合金卷",2,41.041,2,"2018-01-29 03:17:59","2018-01-29 03:17:59"
"RK20180129026",189,3109,"热卷",2,26.075,2,"2018-01-29 03:20:24","2018-01-29 03:20:24"
"RK20180128284",760,379,"花纹卷",1,14.812,2,"2018-01-29 03:20:34","2018-01-29 03:20:34"
"RK20180128210",194,3105,"低合金卷",2,41.4085,2,"2018-01-29 03:21:44","2018-01-29 03:21:44"
"RK20180129027",189,3109,"热卷",2,25.34,2,"2018-01-29 03:23:16","2018-01-29 03:23:16"
"RK20180128214",194,3105,"低合金卷",2,40.488,2,"2018-01-29 03:24:10","2018-01-29 03:24:10"
"RK20180128171",194,3105,"低合金卷",2,41.0375,2,"2018-01-29 03:24:58","2018-01-29 03:24:58"
"RK20180129028",189,3109,"热卷",2,28.735,2,"2018-01-29 03:25:50","2018-01-29 03:25:50"
"RK20180128163",194,3105,"低合金卷",2,39.3995,2,"2018-01-29 03:27:55","2018-01-29 03:27:55"
"RK20180128168",194,3105,"低合金卷",2,40.859,2,"2018-01-29 03:28:46","2018-01-29 03:28:46"
"RK20180127585",297,3105,"低合金卷",1,21.14,2,"2018-01-29 03:31:04","2018-01-29 03:31:04"
"RK20180129030",189,3109,"热卷",4,46.998,2,"2018-01-29 03:32:36","2018-01-29 03:32:36"
"RK20180127421",1400,3109,"热卷",1,20.4855,2,"2018-01-29 03:32:53","2018-01-29 03:32:53"
"RK20180128152",194,3105,"低合金卷",2,40.9465,2,"2018-01-29 03:34:00","2018-01-29 03:34:00"
"RK20180128183",194,3105,"低合金卷",2,40.9605,2,"2018-01-29 03:34:43","2018-01-29 03:34:43"
"RK20180129033",189,3109,"热卷",4,47.929,2,"2018-01-29 03:36:05","2018-01-29 03:36:05"
"RK20180129034",189,3109,"热卷",4,48.776,2,"2018-01-29 03:36:23","2018-01-29 03:36:23"
"RK20180128287",179,3109,"热卷",1,20.8215,2,"2018-01-29 03:36:47","2018-01-29 03:36:47"
"RK20180129036",189,3109,"热卷",3,43.498,2,"2018-01-29 03:39:05","2018-01-29 03:39:05"
"RK20180128200",194,3105,"低合金卷",1,20.6045,2,"2018-01-29 03:39:46","2018-01-29 03:39:46"
"RK20180128169",194,3105,"低合金卷",2,41.174,2,"2018-01-29 03:40:08","2018-01-29 03:40:08"
"RK20180128166",194,3105,"低合金卷",2,41.335,2,"2018-01-29 03:46:28","2018-01-29 03:46:28"
"RK20180129038",189,3109,"热卷",2,29.022,2,"2018-01-29 03:51:56","2018-01-29 03:51:56"
"RK20180129040",189,3109,"热卷",2,27.846,2,"2018-01-29 03:56:42","2018-01-29 03:56:42"
"RK20180129041",189,3109,"热卷",4,48.881,2,"2018-01-29 03:57:04","2018-01-29 03:57:04"
"RK20180129042",189,3109,"热卷",2,28.91,2,"2018-01-29 03:59:54","2018-01-29 03:59:54"
"RK20180129044",189,3109,"热卷",3,41.069,2,"2018-01-29 04:03:56","2018-01-29 04:03:56"
"RK20180129045",189,3109,"热卷",4,47.341,2,"2018-01-29 04:07:47","2018-01-29 04:07:47"
"RK20180128099",2462,3128,"螺纹钢",24,40.418,2,"2018-01-29 04:15:44","2018-01-29 04:15:44"
"RK20180128080",2462,3128,"螺纹钢",24,40.264,2,"2018-01-29 04:17:17","2018-01-29 04:17:17"
"RK20180129049",937,3133,"圆钢",22,44.9386,2,"2018-01-29 04:39:47","2018-01-29 04:39:47"
"RK20180129050",937,3133,"圆钢",1,1.9957,2,"2018-01-29 04:41:18","2018-01-29 04:41:18"
"RK20180129054",937,3133,"圆钢",21,41.0893,2,"2018-01-29 04:52:30","2018-01-29 04:52:30"
"RK20180129056",937,3133,"圆钢",10,20.328,2,"2018-01-29 05:04:30","2018-01-29 05:04:30"
"RK20180129057",937,3133,"圆钢",8,17.7205,2,"2018-01-29 05:07:03","2018-01-29 05:07:03"
"RK20180129058",937,3133,"圆钢",5,10.0569,2,"2018-01-29 05:08:38","2018-01-29 05:08:38"
"RK20180128083",2462,3128,"螺纹钢",20,39.634,2,"2018-01-29 05:16:19","2018-01-29 05:16:19"
"RK20180128096",2462,3128,"螺纹钢",20,40.026,2,"2018-01-29 05:27:36","2018-01-29 05:27:36"
"RK20180128195",194,3109,"热卷",2,41.7935,2,"2018-01-29 05:34:17","2018-01-29 05:34:17"
"RK20180127586",297,3115,"冷卷",2,9.947,2,"2018-01-29 05:35:10","2018-01-29 05:35:10"
"RK20180128211",194,3109,"热卷",2,41.482,2,"2018-01-29 05:35:29","2018-01-29 05:35:29"
"RK20180128186",194,3109,"热卷",2,41.5975,2,"2018-01-29 05:36:04","2018-01-29 05:36:04"
"RK20180129132",1400,33320,"镀铝锌卷",5,32.186,2,"2018-01-29 05:38:18","2018-01-29 05:38:18"
"RK20180129060",1400,33320,"镀铝锌卷",6,42.532,2,"2018-01-29 05:38:18","2018-01-29 05:38:18"
"RK20180129133",1400,33320,"镀铝锌卷",6,40.131,2,"2018-01-29 05:38:18","2018-01-29 05:38:18"
"RK20180129110",1400,33320,"镀铝锌卷",6,41.062,2,"2018-01-29 05:38:18","2018-01-29 05:38:18"
"RK20180128129",1161,3105,"低合金卷",2,40.7085,2,"2018-01-29 05:39:27","2018-01-29 05:39:27"
"RK20180129061",952,316,"H型钢",9,42.1848,2,"2018-01-29 05:40:19","2018-01-29 05:40:19"
"RK20180128191",194,3109,"热卷",2,41.5905,2,"2018-01-29 05:41:20","2018-01-29 05:41:20"
"RK20180128217",273,3109,"热卷",1,18.0635,2,"2018-01-29 05:41:42","2018-01-29 05:41:42"
"RK20180128217",273,394,"大梁卷",1,18.494,2,"2018-01-29 05:41:42","2018-01-29 05:41:42"
"RK20180128192",194,3109,"热卷",2,41.6185,2,"2018-01-29 05:42:20","2018-01-29 05:42:20"
"RK20180128150",194,3109,"热卷",2,30.632,2,"2018-01-29 05:45:03","2018-01-29 05:45:03"
"RK20180127559",973,3115,"冷卷",5,24.899,2,"2018-01-29 05:47:51","2018-01-29 05:47:51"
"RK20180128187",194,3109,"热卷",2,41.496,2,"2018-01-29 05:48:45","2018-01-29 05:48:45"
"RK20180127512",192,3120,"酸洗卷",1,5.684,2,"2018-01-29 05:49:33","2018-01-29 05:49:33"
"RK20180128162",194,3109,"热卷",2,41.307,2,"2018-01-29 05:50:13","2018-01-29 05:50:13"
"RK20180127577",973,3115,"冷卷",3,16.45,2,"2018-01-29 05:50:36","2018-01-29 05:50:36"
"RK20180128202",194,3109,"热卷",2,41.6535,2,"2018-01-29 05:51:19","2018-01-29 05:51:19"
"RK20180128216",273,394,"大梁卷",2,34.321,2,"2018-01-29 05:52:31","2018-01-29 05:52:31"
"RK20180128255",169,3105,"低合金卷",1,20.615,2,"2018-01-29 05:55:06","2018-01-29 05:55:06"
"RK20180128255",169,3109,"热卷",1,20.461,2,"2018-01-29 05:55:06","2018-01-29 05:55:06"
"RK20180128174",194,3109,"热卷",2,41.3595,2,"2018-01-29 05:57:44","2018-01-29 05:57:44"
"RK20180127501",427,3115,"冷卷",3,15.484,2,"2018-01-29 05:58:34","2018-01-29 05:58:34"
"RK20180128280",973,3115,"冷卷",1,4.34,2,"2018-01-29 05:59:42","2018-01-29 05:59:42"
"RK20180128134",1161,3115,"冷卷",1,4.004,2,"2018-01-29 06:03:02","2018-01-29 06:03:02"
"RK20180128247",2397,3120,"酸洗卷",2,13.573,2,"2018-01-29 06:04:10","2018-01-29 06:04:10"
"RK20180128242",192,3115,"冷卷",3,14.224,2,"2018-01-29 06:08:52","2018-01-29 06:08:52"
"RK20180128197",194,3109,"热卷",2,41.8425,2,"2018-01-29 06:10:25","2018-01-29 06:10:25"
"RK20180128275",973,3115,"冷卷",1,4.417,2,"2018-01-29 06:11:32","2018-01-29 06:11:32"
"RK20180128179",194,3109,"热卷",2,41.0515,2,"2018-01-29 06:12:05","2018-01-29 06:12:05"
"RK20180128190",194,3109,"热卷",2,41.454,2,"2018-01-29 06:12:09","2018-01-29 06:12:09"
"RK20180128244",2397,3120,"酸洗卷",1,4.739,2,"2018-01-29 06:12:33","2018-01-29 06:12:33"
"RK20180128196",194,3109,"热卷",2,41.4995,2,"2018-01-29 06:15:14","2018-01-29 06:15:14"
"RK20180128295",297,3115,"冷卷",2,9.513,2,"2018-01-29 06:17:02","2018-01-29 06:17:02"
"RK20180128158",194,3105,"低合金卷",1,20.6605,2,"2018-01-29 06:20:30","2018-01-29 06:20:30"
"RK20180128158",194,3109,"热卷",1,19.3025,2,"2018-01-29 06:20:30","2018-01-29 06:20:30"
"RK20180128234",192,3115,"冷卷",4,21.35,2,"2018-01-29 06:26:05","2018-01-29 06:26:05"
"RK20180128135",1161,3115,"冷卷",1,6.23,2,"2018-01-29 06:29:24","2018-01-29 06:29:24"
"RK20180128288",179,3109,"热卷",1,20.8075,2,"2018-01-29 06:31:12","2018-01-29 06:31:12"
"RK20180128248",2397,3120,"酸洗卷",2,13.237,2,"2018-01-29 06:31:18","2018-01-29 06:31:18"
"RK20180128204",194,3109,"热卷",1,20.8565,2,"2018-01-29 06:32:29","2018-01-29 06:32:29"
"RK20180128243",192,3115,"冷卷",3,17.927,2,"2018-01-29 06:34:31","2018-01-29 06:34:31"
"RK20180128138",1400,3115,"冷卷",3,16.121,2,"2018-01-29 06:37:46","2018-01-29 06:37:46"
"RK20180128230",192,3115,"冷卷",5,26.81,2,"2018-01-29 06:44:18","2018-01-29 06:44:18"
"RK20180128293",297,3115,"冷卷",1,4.935,2,"2018-01-29 06:46:30","2018-01-29 06:46:30"
"RK20180128272",973,3115,"冷卷",1,4.809,2,"2018-01-29 06:47:52","2018-01-29 06:47:52"
"RK20180128093",2462,3128,"螺纹钢",24,40.18,2,"2018-01-29 06:48:36","2018-01-29 06:48:36"
"RK20180128145",972,3115,"冷卷",1,4.935,2,"2018-01-29 06:48:51","2018-01-29 06:48:51"
"RK20180128130",1161,3115,"冷卷",4,19.901,2,"2018-01-29 06:56:04","2018-01-29 06:56:04"
"RK20180128075",2462,3128,"螺纹钢",24,47.824,2,"2018-01-29 07:36:11","2018-01-29 07:36:11"
"RK20180128074",2462,3128,"螺纹钢",24,47.894,2,"2018-01-29 07:37:30","2018-01-29 07:37:30"
"RK20180128071",2462,3128,"螺纹钢",24,40.166,2,"2018-01-29 07:38:45","2018-01-29 07:38:45"
"RK20180128095",2462,3128,"螺纹钢",24,40.18,2,"2018-01-29 07:39:48","2018-01-29 07:39:48"
"RK20180128133",1161,3109,"热卷",2,29.715,2,"2018-01-29 07:39:51","2018-01-29 07:39:51"
"RK20180129063",189,3109,"热卷",4,48.573,2,"2018-01-29 07:41:27","2018-01-29 07:41:27"
"RK20180128082",2462,33527,"盘圆",29,40.474,2,"2018-01-29 07:41:37","2018-01-29 07:41:37"
"RK20180128081",2462,33527,"盘圆",29,40.628,2,"2018-01-29 07:42:32","2018-01-29 07:42:32"
"RK20180128100",2462,33527,"盘圆",29,40.46,2,"2018-01-29 07:44:03","2018-01-29 07:44:03"
"RK20180129064",189,3109,"热卷",4,48.944,2,"2018-01-29 07:44:16","2018-01-29 07:44:16"
"RK20180128090",2462,33527,"盘圆",29,40.684,2,"2018-01-29 07:45:33","2018-01-29 07:45:33"
"RK20180129065",189,3109,"热卷",4,48.608,2,"2018-01-29 07:45:33","2018-01-29 07:45:33"
"RK20180129066",189,3109,"热卷",4,46.62,2,"2018-01-29 07:45:44","2018-01-29 07:45:44"
"RK20180127506",192,379,"花纹卷",1,12.635,2,"2018-01-29 07:47:36","2018-01-29 07:47:36"
"RK20180127557",2242,3109,"热卷",1,12.439,2,"2018-01-29 07:48:37","2018-01-29 07:48:37"
"RK20180127463",194,3109,"热卷",1,11.368,2,"2018-01-29 07:49:41","2018-01-29 07:49:41"
"RK20180128065",2462,33527,"盘圆",32,44.786,2,"2018-01-29 07:51:24","2018-01-29 07:51:24"
"RK20180129068",189,3109,"热卷",4,48.482,2,"2018-01-29 07:51:34","2018-01-29 07:51:34"
"RK20180128076",2462,33527,"盘圆",29,40.446,2,"2018-01-29 07:52:26","2018-01-29 07:52:26"
"RK20180129069",189,3109,"热卷",4,48.916,2,"2018-01-29 07:52:33","2018-01-29 07:52:33"
"RK20180127426",1400,3109,"热卷",4,23.023,2,"2018-01-29 07:53:56","2018-01-29 07:53:56"
"RK20180129070",189,3109,"热卷",4,46.641,2,"2018-01-29 07:57:50","2018-01-29 07:57:50"
"RK20180129071",189,3109,"热卷",4,46.9,2,"2018-01-29 08:01:06","2018-01-29 08:01:06"
"RK20180129072",189,3109,"热卷",4,48.552,2,"2018-01-29 08:01:44","2018-01-29 08:01:44"
"RK20180129073",952,33398,"方钢",24,19.817,2,"2018-01-29 08:06:03","2018-01-29 08:06:03"
"RK20180129074",952,33398,"方钢",27,22.26,2,"2018-01-29 08:06:43","2018-01-29 08:06:43"
"RK20180129075",189,3105,"低合金卷",3,40.46,2,"2018-01-29 08:07:13","2018-01-29 08:07:13"
"RK20180129076",189,3109,"热卷",3,41.923,2,"2018-01-29 08:13:58","2018-01-29 08:13:58"
"RK20180129077",189,3109,"热卷",3,40.775,2,"2018-01-29 08:22:02","2018-01-29 08:22:02"
"RK20180129078",189,3109,"热卷",2,26.383,2,"2018-01-29 08:25:18","2018-01-29 08:25:18"
"RK20180128072",2462,3128,"螺纹钢",24,47.74,2,"2018-01-29 08:38:22","2018-01-29 08:38:22"
"RK20180129082",1400,3114,"冷板",1,3.836,2,"2018-01-29 09:31:54","2018-01-29 09:31:54"
"RK20180129114",630,33401,"车轮钢卷",1,12.4215,2,"2018-01-29 10:23:31","2018-01-29 10:23:31"
"RK20180129117",291,394,"大梁卷",2,9.926,2,"2018-01-29 10:27:57","2018-01-29 10:27:57"
"RK20180129119",1474,3105,"低合金卷",2,36.5645,2,"2018-01-29 10:28:37","2018-01-29 10:28:37"
"RK20180129122",291,394,"大梁卷",4,23.401,2,"2018-01-29 10:29:54","2018-01-29 10:29:54"
"RK20180129123",291,394,"大梁卷",3,28.8365,2,"2018-01-29 10:31:37","2018-01-29 10:31:37"
"RK20180129126",291,394,"大梁卷",8,45.017,2,"2018-01-29 10:34:41","2018-01-29 10:34:41"
"RK20180129127",1474,3105,"低合金卷",2,36.6205,2,"2018-01-29 10:35:32","2018-01-29 10:35:32"
"RK20180129142",1425,3114,"冷板",1,4.193,2,"2018-01-29 11:02:39","2018-01-29 11:02:39"
"RK20180129203",193,3115,"冷卷",1,3.99,2,"2018-01-29 11:28:19","2018-01-29 11:28:19"
"RK20180129204",305,3109,"热卷",1,14.602,2,"2018-01-29 11:29:35","2018-01-29 11:29:35"
"RK20180129205",242,390,"高强结构板",4,6.6738,2,"2018-01-29 11:30:25","2018-01-29 11:30:25"
"RK20180129207",2221,372,"普碳中板",3,5.4677,2,"2018-01-29 11:35:22","2018-01-29 11:35:22"
"RK20180129208",1668,3109,"热卷",2,29.239,2,"2018-01-29 11:35:27","2018-01-29 11:35:27"
"RK20180129208",1668,379,"花纹卷",3,42.294,2,"2018-01-29 11:35:27","2018-01-29 11:35:27"
"RK20180129209",948,372,"普碳中板",3,5.4677,2,"2018-01-29 11:36:55","2018-01-29 11:36:55"
"RK20180127291",2229,3128,"螺纹钢",24,40.1443,2,"2018-01-29 11:37:50","2018-01-29 11:37:50"
"RK20180129210",253,379,"花纹卷",1,15.26,2,"2018-01-29 11:38:06","2018-01-29 11:38:06"
"RK20180129211",292,3109,"热卷",3,61.565,2,"2018-01-29 11:38:33","2018-01-29 11:38:33"
"RK20180129212",525,3115,"冷卷",1,4.879,2,"2018-01-29 11:39:00","2018-01-29 11:39:00"
"RK20180129216",2277,316,"H型钢",2,7.1435,2,"2018-01-29 11:39:38","2018-01-29 11:39:38"
"RK20180129215",1685,3109,"热卷",3,22.029,2,"2018-01-29 11:39:39","2018-01-29 11:39:39"
"RK20180129213",292,3109,"热卷",1,20.2755,2,"2018-01-29 11:39:46","2018-01-29 11:39:46"
"RK20180129217",193,379,"花纹卷",1,15.19,2,"2018-01-29 11:40:49","2018-01-29 11:40:49"
"RK20180129219",292,3109,"热卷",1,20.335,2,"2018-01-29 11:40:49","2018-01-29 11:40:49"
"RK20180129221",525,3115,"冷卷",1,5.012,2,"2018-01-29 11:41:33","2018-01-29 11:41:33"
"RK20180129224",2164,3105,"低合金卷",1,19.6805,2,"2018-01-29 11:41:39","2018-01-29 11:41:39"
"RK20180129224",2164,3109,"热卷",1,15.218,2,"2018-01-29 11:41:39","2018-01-29 11:41:39"
"RK20180129223",292,3109,"热卷",8,58.401,2,"2018-01-29 11:42:00","2018-01-29 11:42:00"
"RK20180129225",245,379,"花纹卷",1,15.148,2,"2018-01-29 11:42:37","2018-01-29 11:42:37"
"RK20180129227",292,3105,"低合金卷",10,72.87,2,"2018-01-29 11:43:43","2018-01-29 11:43:43"
"RK20180129229",292,3105,"低合金卷",2,13.545,2,"2018-01-29 11:44:49","2018-01-29 11:44:49"
"RK20180129230",292,3105,"低合金卷",1,6.79,2,"2018-01-29 11:45:40","2018-01-29 11:45:40"
"RK20180129231",292,3105,"低合金卷",1,8.141,2,"2018-01-29 11:46:33","2018-01-29 11:46:33"
"RK20180129235",292,3105,"低合金卷",1,19.614,2,"2018-01-29 11:47:27","2018-01-29 11:47:27"
"RK20180129236",292,3105,"低合金卷",1,20.3805,2,"2018-01-29 11:49:23","2018-01-29 11:49:23"
"RK20180129238",364,3115,"冷卷",1,3.808,2,"2018-01-29 11:50:27","2018-01-29 11:50:27"
"RK20180129245",684,3109,"热卷",1,20.5485,2,"2018-01-29 11:51:20","2018-01-29 11:51:20"
"RK20180129248",2454,3119,"镀锌卷",73,391.923,2,"2018-01-29 11:54:43","2018-01-29 11:54:43"
"RK20180129249",2456,3119,"镀锌卷",4,23.282,2,"2018-01-29 12:07:37","2018-01-29 12:07:37"
"RK20180129251",2144,394,"大梁卷",2,40.74,2,"2018-01-29 12:07:35","2018-01-29 12:09:17"
"RK20180129271",2182,318,"连铸方坯",8,40.894,2,"2018-01-29 12:09:58","2018-01-29 12:09:58"
"RK20180129256",1850,3115,"冷卷",2,12.495,2,"2018-01-29 12:35:43","2018-01-29 12:35:43"
"RK20180129259",2457,3119,"镀锌卷",12,67.732,2,"2018-01-29 12:47:07","2018-01-29 12:47:07"
"RK20180129270",1890,3115,"冷卷",2,15.561,2,"2018-01-29 12:52:28","2018-01-29 12:52:28"
"RK20180129270",1890,3120,"酸洗卷",3,15.855,2,"2018-01-29 12:52:28","2018-01-29 12:52:28"
"RK20180129274",2456,3119,"镀锌卷",9,49.665,2,"2018-01-29 12:55:43","2018-01-29 12:55:43"
"RK20180129272",1141,3109,"热卷",1,7.973,2,"2018-01-29 12:55:53","2018-01-29 12:55:53"
"RK20180129273",1141,3109,"热卷",1,12.586,2,"2018-01-29 12:56:44","2018-01-29 12:56:44"
"RK20180129275",2457,3119,"镀锌卷",6,36.036,2,"2018-01-29 12:57:39","2018-01-29 12:57:39"
"RK20180129277",1425,3109,"热卷",1,2.338,2,"2018-01-29 13:02:39","2018-01-29 13:02:39"
"RK20180129279",1551,3114,"冷板",3,11.683,2,"2018-01-29 13:05:24","2018-01-29 13:05:24"
"RK20180129280",1551,3114,"冷板",6,23.156,2,"2018-01-29 13:05:55","2018-01-29 13:05:55"
"RK20180129284",345,3109,"热卷",1,10.5,2,"2018-01-29 13:11:49","2018-01-29 13:11:49"
"RK20180129285",250,3109,"热卷",1,14.7,2,"2018-01-29 13:13:05","2018-01-29 13:13:05"
"RK20180129287",250,3109,"热卷",1,20.6045,2,"2018-01-29 13:14:17","2018-01-29 13:14:17"
"RK20180129289",250,3109,"热卷",5,45.633,2,"2018-01-29 13:14:45","2018-01-29 13:14:45"
"RK20180129291",216,3109,"热卷",2,29.365,2,"2018-01-29 13:16:06","2018-01-29 13:16:06"
"RK20180129292",216,3109,"热卷",2,30.471,2,"2018-01-29 13:17:11","2018-01-29 13:17:11"
"RK20180129295",216,3109,"热卷",2,40.0575,2,"2018-01-29 13:18:00","2018-01-29 13:18:00"
"RK20180129297",216,3109,"热卷",2,40.6735,2,"2018-01-29 13:18:47","2018-01-29 13:18:47"
"RK20180129315",193,3114,"冷板",2,7.448,2,"2018-01-29 13:37:36","2018-01-29 13:37:36"
"RK20180129317",1890,3115,"冷卷",1,7.203,2,"2018-01-29 13:40:04","2018-01-29 13:40:04"
"RK20180129320",435,3109,"热卷",6,126.6685,2,"2018-01-29 13:47:31","2018-01-29 13:47:31"
"RK20180129325",250,376,"低合金中板",5,11.8664,2,"2018-01-29 13:53:18","2018-01-29 13:53:18"
"RK20180129328",903,33320,"镀铝锌卷",1,6.328,2,"2018-01-29 14:00:58","2018-01-29 14:00:58"
"RK20180129337",242,372,"普碳中板",35,83.7158,2,"2018-01-29 14:06:03","2018-01-29 14:06:03"
"RK20180129343",2454,3119,"镀锌卷",72,415.03,2,"2018-01-29 14:13:32","2018-01-29 14:13:32"
"RK20180129345",1987,3115,"冷卷",2,10.57,2,"2018-01-29 14:18:06","2018-01-29 14:18:06"
"RK20180129346",2221,3105,"低合金卷",9,163.3205,2,"2018-01-29 14:18:54","2018-01-29 14:18:54"
"RK20180129347",435,3105,"低合金卷",9,163.3205,2,"2018-01-29 14:20:44","2018-01-29 14:20:44"
"RK20180129351",216,3105,"低合金卷",4,81.1475,2,"2018-01-29 14:35:28","2018-01-29 14:35:28"
"RK20180129353",216,3109,"热卷",1,14.665,2,"2018-01-29 14:36:26","2018-01-29 14:36:26"
"RK20180129354",1890,3115,"冷卷",1,7.623,2,"2018-01-29 14:37:09","2018-01-29 14:37:09"
"RK20180129357",948,3109,"热卷",1,20.846,2,"2018-01-29 14:37:22","2018-01-29 14:37:22"
"RK20180129359",216,3109,"热卷",2,41.1215,2,"2018-01-29 14:38:06","2018-01-29 14:38:06"
