"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180129104",169,394,"大梁卷",2,9.926,11,"2018-01-29 10:27:57","2018-01-29 10:27:57"
"CKW20180129006",179,3109,"热卷",1,19.775,11,"2018-01-29 10:28:37","2018-01-29 10:28:37"
"CK20180129101",189,33326,"冷硬卷",4,61.026,11,"2018-01-29 10:26:38","2018-01-29 10:29:07"
"CKW20180129007",948,394,"大梁卷",1,15.778,11,"2018-01-29 10:29:51","2018-01-29 10:29:51"
"CK20180129107",169,394,"大梁卷",4,23.401,11,"2018-01-29 10:29:54","2018-01-29 10:29:54"
"CK20180129108",169,394,"大梁卷",3,28.8365,11,"2018-01-29 10:31:37","2018-01-29 10:31:37"
"CKW20180129008",948,394,"大梁卷",1,16.807,11,"2018-01-29 10:32:45","2018-01-29 10:32:45"
"CK20180129109",169,394,"大梁卷",8,45.017,11,"2018-01-29 10:34:41","2018-01-29 10:34:41"
"CKW20180129009",353,3109,"热卷",1,18.2,11,"2018-01-29 10:34:46","2018-01-29 10:34:46"
"CKW20180129010",273,3115,"冷卷",1,4.879,11,"2018-01-29 10:38:59","2018-01-29 10:38:59"
"CKW20180129011",273,3115,"冷卷",2,10.507,11,"2018-01-29 10:39:41","2018-01-29 10:39:41"
"CKW20180129012",273,3115,"冷卷",1,4.676,11,"2018-01-29 10:40:41","2018-01-29 10:40:41"
"CK20180129111",1346,3115,"冷卷",3,11.06,11,"2018-01-29 10:38:54","2018-01-29 10:41:56"
"CK20180129110",1346,3115,"冷卷",1,4.795,11,"2018-01-29 10:38:22","2018-01-29 10:42:11"
"CK20180129112",189,33326,"冷硬卷",4,58.898,11,"2018-01-29 10:41:28","2018-01-29 10:56:25"
"CK20180129115",973,3115,"冷卷",7,35.329,11,"2018-01-29 10:48:35","2018-01-29 10:58:20"
"CKW20180129013",702,33513,"电镀锌卷",1,8.358,11,"2018-01-29 10:58:50","2018-01-29 10:58:50"
"CK20180129118",972,3114,"冷板",1,4.193,11,"2018-01-29 11:02:39","2018-01-29 11:02:39"
"CK20180129119",173,318,"连铸方坯",1,5.124,11,"2018-01-29 11:04:58","2018-01-29 11:05:37"
"CK20180129116",273,3109,"热卷",3,20.65,11,"2018-01-29 11:02:35","2018-01-29 11:13:16"
"CK20180129117",273,3109,"热卷",1,14.2905,11,"2018-01-29 11:02:50","2018-01-29 11:14:13"
"CK20180129129",1690,3108,"容器板",5,14.9499,11,"2018-01-29 11:20:31","2018-01-29 11:20:42"
"CK20180129136",501,3128,"螺纹钢",24,49,11,"2018-01-29 11:25:16","2018-01-29 11:25:32"
"CK20180129141",427,3115,"冷卷",1,3.99,11,"2018-01-29 11:28:19","2018-01-29 11:28:19"
"CK20180129142",1668,3109,"热卷",1,14.602,11,"2018-01-29 11:29:35","2018-01-29 11:29:35"
"CK20180129143",1474,390,"高强结构板",4,6.6738,11,"2018-01-29 11:30:25","2018-01-29 11:30:25"
"CK20180129147",1474,372,"普碳中板",3,5.4677,11,"2018-01-29 11:35:22","2018-01-29 11:35:22"
"CK20180129148",1400,3109,"热卷",2,29.239,11,"2018-01-29 11:35:27","2018-01-29 11:35:27"
"CK20180129148",1400,379,"花纹卷",3,42.294,11,"2018-01-29 11:35:27","2018-01-29 11:35:27"
"CK20180129149",2221,372,"普碳中板",3,5.4677,11,"2018-01-29 11:36:55","2018-01-29 11:36:55"
"CK20180129150",192,379,"花纹卷",1,15.26,11,"2018-01-29 11:38:06","2018-01-29 11:38:06"
"CK20180129151",169,3109,"热卷",3,61.565,11,"2018-01-29 11:38:33","2018-01-29 11:38:33"
"CK20180129152",192,3115,"冷卷",1,4.879,11,"2018-01-29 11:39:00","2018-01-29 11:39:00"
"CK20180129155",2213,316,"H型钢",2,7.1435,11,"2018-01-29 11:39:38","2018-01-29 11:39:38"
"CK20180129154",192,3109,"热卷",3,22.029,11,"2018-01-29 11:39:39","2018-01-29 11:39:39"
"CK20180129153",169,3109,"热卷",1,20.2755,11,"2018-01-29 11:39:46","2018-01-29 11:39:46"
"CKW20180129014",972,3115,"冷卷",1,6.58,11,"2018-01-29 11:39:55","2018-01-29 11:39:55"
"CKW20180129015",179,3109,"热卷",1,14.623,11,"2018-01-29 11:40:38","2018-01-29 11:40:38"
"CK20180129156",192,379,"花纹卷",1,15.19,11,"2018-01-29 11:40:49","2018-01-29 11:40:49"
"CK20180129157",169,3109,"热卷",1,20.335,11,"2018-01-29 11:40:49","2018-01-29 11:40:49"
"CKW20180129016",364,3115,"冷卷",1,7.049,11,"2018-01-29 11:41:15","2018-01-29 11:41:15"
"CK20180129158",192,3115,"冷卷",1,5.012,11,"2018-01-29 11:41:33","2018-01-29 11:41:33"
"CK20180129160",1603,3105,"低合金卷",1,19.6805,11,"2018-01-29 11:41:39","2018-01-29 11:41:39"
"CK20180129160",1603,3109,"热卷",1,15.218,11,"2018-01-29 11:41:39","2018-01-29 11:41:39"
"CKW20180129017",471,3115,"冷卷",1,3.99,11,"2018-01-29 11:41:40","2018-01-29 11:41:40"
"CK20180129159",169,3109,"热卷",8,58.401,11,"2018-01-29 11:42:00","2018-01-29 11:42:00"
"CK20180129161",192,379,"花纹卷",1,15.148,11,"2018-01-29 11:42:37","2018-01-29 11:42:37"
"CK20180129162",169,3105,"低合金卷",10,72.87,11,"2018-01-29 11:43:43","2018-01-29 11:43:43"
"CK20180129163",501,3138,"硬线",16,23.3331,11,"2018-01-29 11:44:30","2018-01-29 11:44:42"
"CKW20180129018",1400,3109,"热卷",1,15.26,11,"2018-01-29 11:44:42","2018-01-29 11:44:42"
"CK20180129165",169,3105,"低合金卷",2,13.545,11,"2018-01-29 11:44:49","2018-01-29 11:44:49"
"CK20180129120",1850,3115,"冷卷",1,3.969,11,"2018-01-29 11:05:58","2018-01-29 11:45:23"
"CK20180129166",169,3105,"低合金卷",1,6.79,11,"2018-01-29 11:45:40","2018-01-29 11:45:40"
"CK20180129128",1850,3115,"冷卷",2,8.043,11,"2018-01-29 11:14:27","2018-01-29 11:45:57"
"CK20180129167",169,3105,"低合金卷",1,8.141,11,"2018-01-29 11:46:33","2018-01-29 11:46:33"
"CKW20180129019",273,3109,"热卷",1,10.724,11,"2018-01-29 11:46:38","2018-01-29 11:46:38"
"CKW20180129020",216,3105,"低合金卷",2,40.7785,11,"2018-01-29 11:47:08","2018-01-29 11:47:08"
"CK20180129169",169,3105,"低合金卷",1,19.614,11,"2018-01-29 11:47:27","2018-01-29 11:47:27"
"CKW20180129021",216,3105,"低合金卷",1,19.9815,11,"2018-01-29 11:48:13","2018-01-29 11:48:13"
"CK20180129168",1425,3114,"冷板",1,4.193,11,"2018-01-29 11:48:30","2018-01-29 11:48:42"
"CK20180129170",169,3105,"低合金卷",1,20.3805,11,"2018-01-29 11:49:23","2018-01-29 11:49:23"
"CK20180129171",297,3115,"冷卷",1,3.808,11,"2018-01-29 11:50:27","2018-01-29 11:50:27"
"CK20180129172",1400,3109,"热卷",1,20.5485,11,"2018-01-29 11:51:20","2018-01-29 11:51:20"
"CKW20180129022",305,3109,"热卷",1,14.602,11,"2018-01-29 11:51:55","2018-01-29 11:51:55"
"CKW20180129023",1590,379,"花纹卷",1,6.58,11,"2018-01-29 11:53:03","2018-01-29 11:53:03"
"CK20180129178",1400,3119,"镀锌卷",73,391.923,11,"2018-01-29 11:54:43","2018-01-29 11:54:43"
"CK20180129146",192,3115,"冷卷",1,6.3,11,"2018-01-29 11:34:00","2018-01-29 12:01:02"
"CK20180129175",972,3114,"冷板",2,7.574,11,"2018-01-29 12:04:24","2018-01-29 12:04:35"
"CK20180129179",1400,3119,"镀锌卷",4,23.282,11,"2018-01-29 12:07:37","2018-01-29 12:07:37"
"CKW20180129024",194,3109,"热卷",1,19.418,11,"2018-01-29 12:08:25","2018-01-29 12:08:25"
"CK20180129199",169,318,"连铸方坯",8,40.894,11,"2018-01-29 12:09:58","2018-01-29 12:09:58"
"CKW20180129025",273,3109,"热卷",1,6.93,11,"2018-01-29 12:10:02","2018-01-29 12:10:02"
"CKW20180129026",245,3109,"热卷",1,19.705,11,"2018-01-29 12:10:31","2018-01-29 12:10:31"
"CK20180129183",192,3115,"冷卷",2,12.495,11,"2018-01-29 12:35:43","2018-01-29 12:35:43"
"CK20180129191",1400,3119,"镀锌卷",12,67.732,11,"2018-01-29 12:47:07","2018-01-29 12:47:07"
"CK20180129182",189,33326,"冷硬卷",4,56.49,11,"2018-01-29 12:35:52","2018-01-29 12:48:29"
"CKW20180129027",843,3120,"酸洗卷",1,4.998,11,"2018-01-29 12:50:33","2018-01-29 12:50:33"
"CK20180129198",273,3115,"冷卷",2,15.561,11,"2018-01-29 12:52:28","2018-01-29 12:52:28"
"CK20180129198",273,3120,"酸洗卷",3,15.855,11,"2018-01-29 12:52:28","2018-01-29 12:52:28"
"CK20180129202",1400,3119,"镀锌卷",9,49.665,11,"2018-01-29 12:55:43","2018-01-29 12:55:43"
"CK20180129200",220,3109,"热卷",1,7.973,11,"2018-01-29 12:55:53","2018-01-29 12:55:53"
"CK20180129201",216,3109,"热卷",1,12.586,11,"2018-01-29 12:56:44","2018-01-29 12:56:44"
"CK20180129197",591,3115,"冷卷",1,3.948,11,"2018-01-29 12:51:51","2018-01-29 12:57:32"
"CK20180129203",1400,3119,"镀锌卷",6,36.036,11,"2018-01-29 12:57:39","2018-01-29 12:57:39"
"CK20180129196",364,3115,"冷卷",1,4.9,11,"2018-01-29 12:50:59","2018-01-29 12:57:53"
"CK20180129181",364,3115,"冷卷",1,6.23,11,"2018-01-29 12:30:12","2018-01-29 12:58:09"
"CK20180129188",973,3115,"冷卷",8,37.611,11,"2018-01-29 12:48:15","2018-01-29 12:58:30"
"CK20180129204",193,3115,"冷卷",1,3.99,11,"2018-01-29 13:00:02","2018-01-29 13:00:24"
"CK20180129207",501,3128,"螺纹钢",36,63,11,"2018-01-29 13:01:49","2018-01-29 13:01:56"
"CK20180129208",273,3109,"热卷",1,2.338,11,"2018-01-29 13:02:39","2018-01-29 13:02:39"
"CK20180129187",2242,3109,"热卷",4,50.057,11,"2018-01-29 12:47:49","2018-01-29 13:05:21"
"CK20180129211",169,3114,"冷板",3,11.683,11,"2018-01-29 13:05:24","2018-01-29 13:05:24"
"CK20180129212",169,3114,"冷板",6,23.156,11,"2018-01-29 13:05:55","2018-01-29 13:05:55"
"CK20180129206",1613,33441,"不锈钢冷卷",1,4.8699,11,"2018-01-29 13:01:23","2018-01-29 13:06:03"
"CK20180129205",1613,33441,"不锈钢冷卷",1,4.9294,11,"2018-01-29 13:01:02","2018-01-29 13:07:36"
"CK20180129219",273,3109,"热卷",1,10.5,11,"2018-01-29 13:11:49","2018-01-29 13:11:49"
"CK20180129218",501,3138,"硬线",24,35,11,"2018-01-29 13:11:44","2018-01-29 13:11:58"
"CK20180129220",216,3109,"热卷",1,14.7,11,"2018-01-29 13:13:05","2018-01-29 13:13:05"
"CK20180129221",760,3109,"热卷",1,20.6045,11,"2018-01-29 13:14:17","2018-01-29 13:14:17"
"CKW20180129028",684,3109,"热卷",1,21.0455,11,"2018-01-29 13:14:22","2018-01-29 13:14:22"
"CK20180129223",273,3109,"热卷",5,45.633,11,"2018-01-29 13:14:45","2018-01-29 13:14:45"
"CKW20180129029",684,3109,"热卷",1,21.2415,11,"2018-01-29 13:15:05","2018-01-29 13:15:05"
"CKW20180129030",684,3109,"热卷",1,20.062,11,"2018-01-29 13:15:42","2018-01-29 13:15:42"
"CK20180129224",169,3109,"热卷",2,29.365,11,"2018-01-29 13:16:06","2018-01-29 13:16:06"
"CK20180129225",169,3109,"热卷",2,30.471,11,"2018-01-29 13:17:11","2018-01-29 13:17:11"
"CKW20180129031",194,3105,"低合金卷",1,9.7405,11,"2018-01-29 13:17:47","2018-01-29 13:17:47"
"CK20180129228",169,3109,"热卷",2,40.0575,11,"2018-01-29 13:18:00","2018-01-29 13:18:00"
"CK20180129231",169,3109,"热卷",2,40.6735,11,"2018-01-29 13:18:47","2018-01-29 13:18:47"
"CKW20180129032",490,3120,"酸洗卷",1,6.783,11,"2018-01-29 13:19:26","2018-01-29 13:19:26"
"CKW20180129033",345,3109,"热卷",1,10.5,11,"2018-01-29 13:19:38","2018-01-29 13:19:38"
"CKW20180129034",490,3120,"酸洗卷",1,6.335,11,"2018-01-29 13:20:02","2018-01-29 13:20:02"
"CK20180129235",501,3128,"螺纹钢",26,53.795,11,"2018-01-29 13:20:48","2018-01-29 13:21:00"
"CK20180129236",948,372,"普碳中板",3,5.4677,11,"2018-01-29 13:20:53","2018-01-29 13:21:05"
"CKW20180129035",498,3105,"低合金卷",2,14.56,11,"2018-01-29 13:22:31","2018-01-29 13:22:31"
"CKW20180129036",250,3109,"热卷",2,19.488,11,"2018-01-29 13:23:19","2018-01-29 13:23:19"
"CKW20180129037",250,3109,"热卷",2,26.082,11,"2018-01-29 13:24:16","2018-01-29 13:24:16"
"CKW20180129038",250,3109,"热卷",2,14.763,11,"2018-01-29 13:24:53","2018-01-29 13:24:53"
"CK20180129240",948,372,"普碳中板",2,4.1321,11,"2018-01-29 13:25:01","2018-01-29 13:25:08"
"CKW20180129039",216,3109,"热卷",1,15.239,11,"2018-01-29 13:27:14","2018-01-29 13:27:14"
"CKW20180129040",972,3115,"冷卷",1,3.843,11,"2018-01-29 13:28:56","2018-01-29 13:28:56"
"CKW20180129041",972,3115,"冷卷",1,7.7735,11,"2018-01-29 13:31:23","2018-01-29 13:31:23"
"CKW20180129042",216,3105,"低合金卷",2,39.221,11,"2018-01-29 13:33:21","2018-01-29 13:33:21"
"CKW20180129043",972,3115,"冷卷",1,6.398,11,"2018-01-29 13:33:43","2018-01-29 13:33:43"
"CKW20180129044",1425,3109,"热卷",1,2.338,11,"2018-01-29 13:35:47","2018-01-29 13:35:47"
"CK20180129247",1846,3114,"冷板",2,7.448,11,"2018-01-29 13:37:36","2018-01-29 13:37:36"
"CK20180129249",273,3115,"冷卷",1,7.203,11,"2018-01-29 13:40:04","2018-01-29 13:40:04"
"CK20180129237",471,3115,"冷卷",1,3.934,11,"2018-01-29 13:22:58","2018-01-29 13:40:34"
"CK20180129250",1242,33525,"邯钢平板",2,13.3196,11,"2018-01-29 13:40:41","2018-01-29 13:40:54"
"CK20180129213",471,3115,"冷卷",1,5.572,11,"2018-01-29 13:07:46","2018-01-29 13:41:16"
"CK20180129255",501,3128,"螺纹钢",36,72.8,11,"2018-01-29 13:43:31","2018-01-29 13:43:47"
"CK20180129238",292,3109,"热卷",2,29.106,11,"2018-01-29 13:23:44","2018-01-29 13:44:02"
"CK20180129241",292,3109,"热卷",1,14.616,11,"2018-01-29 13:25:17","2018-01-29 13:44:12"
"CK20180129222",1668,3109,"热卷",1,15.302,11,"2018-01-29 13:15:32","2018-01-29 13:44:45"
"CK20180129256",972,3114,"冷板",1,3.661,11,"2018-01-29 13:45:00","2018-01-29 13:45:15"
"CK20180129257",972,3114,"冷板",1,3.626,11,"2018-01-29 13:45:33","2018-01-29 13:45:43"
"CK20180129258",1400,3109,"热卷",6,126.6685,11,"2018-01-29 13:47:31","2018-01-29 13:47:31"
"CK20180129239",191,3100,"彩涂卷",3,8.848,11,"2018-01-29 13:24:04","2018-01-29 13:49:38"
"CK20180129259",191,3100,"彩涂卷",1,2.94,11,"2018-01-29 13:51:04","2018-01-29 13:51:15"
"CK20180129276",433,376,"低合金中板",5,11.8664,11,"2018-01-29 13:53:18","2018-01-29 13:53:18"
"CKW20180129045",1141,3109,"热卷",1,7.973,11,"2018-01-29 13:54:39","2018-01-29 13:54:39"
"CKW20180129046",1141,3109,"热卷",1,12.586,11,"2018-01-29 13:55:13","2018-01-29 13:55:13"
"CK20180129248",189,33326,"冷硬卷",2,30.506,11,"2018-01-29 13:39:28","2018-01-29 13:55:19"
"CK20180129274",433,372,"普碳中板",6,14.3878,11,"2018-01-29 13:55:09","2018-01-29 13:55:24"
"CK20180129279",1128,376,"低合金中板",2,2.5718,11,"2018-01-29 13:57:31","2018-01-29 13:57:45"
"CKW20180129047",193,3109,"热卷",2,18.8475,11,"2018-01-29 14:00:42","2018-01-29 14:00:42"
"CKW20180129047",193,3105,"低合金卷",1,6.895,11,"2018-01-29 14:00:42","2018-01-29 14:00:42"
"CK20180129283",701,33320,"镀铝锌卷",1,6.328,11,"2018-01-29 14:00:58","2018-01-29 14:00:58"
"CK20180129263",1184,3120,"酸洗卷",2,12.159,11,"2018-01-29 13:52:55","2018-01-29 14:03:59"
"CK20180129299",1046,372,"普碳中板",35,83.7158,11,"2018-01-29 14:06:03","2018-01-29 14:06:03"
"CK20180129300",501,3128,"螺纹钢",20,42.7,11,"2018-01-29 14:07:57","2018-01-29 14:08:03"
"CKW20180129048",903,33320,"镀铝锌卷",1,6.328,11,"2018-01-29 14:10:10","2018-01-29 14:10:10"
"CK20180129305",501,3128,"螺纹钢",36,59.5,11,"2018-01-29 14:10:16","2018-01-29 14:10:33"
"CK20180129309",2277,316,"H型钢",3,8.0087,11,"2018-01-29 14:12:32","2018-01-29 14:12:52"
"CK20180129311",1400,3119,"镀锌卷",72,415.03,11,"2018-01-29 14:13:32","2018-01-29 14:13:32"
"CK20180129310",242,390,"高强结构板",4,6.6738,11,"2018-01-29 14:15:48","2018-01-29 14:16:00"
"CK20180129286",2164,3109,"热卷",1,15.218,11,"2018-01-29 14:03:09","2018-01-29 14:16:16"
"CK20180129315",273,3115,"冷卷",2,10.57,11,"2018-01-29 14:18:06","2018-01-29 14:18:06"
"CK20180129316",1474,3105,"低合金卷",9,163.3205,11,"2018-01-29 14:18:54","2018-01-29 14:18:54"
"CK20180129319",2221,3105,"低合金卷",9,163.3205,11,"2018-01-29 14:20:44","2018-01-29 14:20:44"
"CK20180129280",191,3100,"彩涂卷",1,3.08,11,"2018-01-29 13:58:46","2018-01-29 14:23:38"
"CKW20180129049",216,3109,"热卷",1,15.204,11,"2018-01-29 14:24:27","2018-01-29 14:24:27"
"CKW20180129050",219,3120,"酸洗卷",5,37.4955,11,"2018-01-29 14:27:00","2018-01-29 14:27:00"
"CK20180129330",169,3105,"低合金卷",4,81.1475,11,"2018-01-29 14:35:28","2018-01-29 14:35:28"
"CK20180129334",169,3109,"热卷",1,14.665,11,"2018-01-29 14:36:26","2018-01-29 14:36:26"
"CK20180129329",973,3115,"冷卷",9,44.107,11,"2018-01-29 14:35:50","2018-01-29 14:36:49"
"CK20180129335",273,3115,"冷卷",1,7.623,11,"2018-01-29 14:37:09","2018-01-29 14:37:09"
"CKW20180129051",194,3105,"低合金卷",1,20.041,11,"2018-01-29 14:37:11","2018-01-29 14:37:11"
"CK20180129337",297,3109,"热卷",1,20.846,11,"2018-01-29 14:37:22","2018-01-29 14:37:22"
"CKW20180129052",194,3105,"低合金卷",1,20.531,11,"2018-01-29 14:37:57","2018-01-29 14:37:57"
"CK20180129338",169,3109,"热卷",2,41.1215,11,"2018-01-29 14:38:06","2018-01-29 14:38:06"
"CK20180129327",972,3115,"冷卷",1,3.206,11,"2018-01-29 14:33:44","2018-01-29 14:39:23"
"CK20180129340",216,3109,"热卷",1,14.602,11,"2018-01-29 14:39:27","2018-01-29 14:39:27"
"CK20180129322",616,3115,"冷卷",1,4.039,11,"2018-01-29 14:29:24","2018-01-29 14:39:57"
"CKW20180129053",216,3105,"低合金卷",4,81.1475,11,"2018-01-29 14:39:59","2018-01-29 14:39:59"
"CK20180129341",616,3115,"冷卷",1,2.968,11,"2018-01-29 14:40:37","2018-01-29 14:41:01"
"CK20180129318",1346,3115,"冷卷",3,15.89,11,"2018-01-29 14:21:01","2018-01-29 14:41:20"
"CKW20180129054",1987,3115,"冷卷",2,10.57,11,"2018-01-29 14:42:23","2018-01-29 14:42:23"
"CK20180129346",273,3115,"冷卷",3,11.592,11,"2018-01-29 14:43:36","2018-01-29 14:43:36"
"CK20180129353",273,3115,"冷卷",1,4.403,11,"2018-01-29 14:48:15","2018-01-29 14:48:15"
"CK20180129328",364,3115,"冷卷",1,3.808,11,"2018-01-29 14:34:44","2018-01-29 14:48:17"
"CK20180129326",1346,3115,"冷卷",5,22.68,11,"2018-01-29 14:31:26","2018-01-29 14:48:58"
"CK20180129360",501,3138,"硬线",24,35,11,"2018-01-29 14:54:01","2018-01-29 14:54:08"
"CK20180129361",350,3115,"冷卷",1,4.312,11,"2018-01-29 14:54:13","2018-01-29 14:54:13"
"CK20180129356",973,3115,"冷卷",9,38.913,11,"2018-01-29 14:51:35","2018-01-29 14:55:24"
"CK20180129365",972,3115,"冷卷",1,5.264,11,"2018-01-29 14:56:29","2018-01-29 14:56:29"
"CKW20180129055",312,3115,"冷卷",1,5.901,11,"2018-01-29 14:59:09","2018-01-29 14:59:09"
"CKW20180129056",1901,3115,"冷卷",2,8.064,11,"2018-01-29 15:00:29","2018-01-29 15:00:29"
"CK20180129369",972,3115,"冷卷",2,12.761,11,"2018-01-29 15:00:33","2018-01-29 15:00:33"
"CKW20180129057",1901,3115,"冷卷",1,3.528,11,"2018-01-29 15:01:39","2018-01-29 15:01:39"
"CK20180129350",1346,3115,"冷卷",4,16.198,11,"2018-01-29 14:46:28","2018-01-29 15:01:50"
"CK20180129349",2242,3109,"热卷",4,47.138,11,"2018-01-29 14:46:24","2018-01-29 15:02:17"
"CKW20180129058",216,3109,"热卷",1,14.665,11,"2018-01-29 15:02:23","2018-01-29 15:02:23"
"CK20180129372",194,3105,"低合金卷",1,7.245,11,"2018-01-29 15:03:22","2018-01-29 15:03:22"
"CK20180129373",1690,3108,"容器板",1,1.2698,11,"2018-01-29 15:04:18","2018-01-29 15:04:27"
"CK20180129376",273,3105,"低合金卷",1,19.551,11,"2018-01-29 15:05:37","2018-01-29 15:05:37"
"CKW20180129059",273,3109,"热卷",1,3.024,11,"2018-01-29 15:05:39","2018-01-29 15:05:39"
"CK20180129379",1737,372,"普碳中板",2,4.0803,11,"2018-01-29 15:06:05","2018-01-29 15:06:05"
"CKW20180129060",194,3105,"低合金卷",1,7.084,11,"2018-01-29 15:06:49","2018-01-29 15:06:49"
"CKW20180129061",194,3109,"热卷",1,21,11,"2018-01-29 15:07:35","2018-01-29 15:07:35"
"CK20180129382",240,3115,"冷卷",1,4.312,11,"2018-01-29 15:08:44","2018-01-29 15:08:44"
"CK20180129390",273,3120,"酸洗卷",2,11.207,11,"2018-01-29 15:10:09","2018-01-29 15:10:09"
"CKW20180129062",273,394,"大梁卷",1,17.4055,11,"2018-01-29 15:10:16","2018-01-29 15:10:16"
"CK20180129386",2277,316,"H型钢",6,23.3604,11,"2018-01-29 15:10:56","2018-01-29 15:11:22"
"CKW20180129063",273,3120,"酸洗卷",1,6.412,11,"2018-01-29 15:13:35","2018-01-29 15:13:35"
"CKW20180129064",273,3115,"冷卷",1,4.144,11,"2018-01-29 15:14:15","2018-01-29 15:14:15"
"CK20180129397",216,3105,"低合金卷",1,6.972,11,"2018-01-29 15:14:57","2018-01-29 15:14:57"
"CKW20180129065",273,3115,"冷卷",5,23.289,11,"2018-01-29 15:16:06","2018-01-29 15:16:06"
"CK20180129381",973,3115,"冷卷",8,37.919,11,"2018-01-29 15:08:35","2018-01-29 15:16:23"
"CKW20180129066",1774,3115,"冷卷",3,17.64,11,"2018-01-29 15:16:54","2018-01-29 15:16:54"
"CK20180129415",427,3115,"冷卷",3,15.603,11,"2018-01-29 15:23:02","2018-01-29 15:23:02"
"CKW20180129067",1774,33320,"镀铝锌卷",3,19.334,11,"2018-01-29 15:28:35","2018-01-29 15:28:35"
"CK20180129417",297,3115,"冷卷",2,9.709,11,"2018-01-29 15:31:17","2018-01-29 15:31:17"
"CK20180129419",1400,3115,"冷卷",6,27.916,11,"2018-01-29 15:31:18","2018-01-29 15:31:18"
"CK20180129421",1400,3120,"酸洗卷",6,37.492,11,"2018-01-29 15:32:00","2018-01-29 15:32:00"
"CK20180129420",297,3115,"冷卷",2,10.136,11,"2018-01-29 15:32:22","2018-01-29 15:32:22"
"CKW20180129068",1774,33320,"镀铝锌卷",10,57.484,11,"2018-01-29 15:33:14","2018-01-29 15:33:14"
"CKW20180129069",471,3120,"酸洗卷",2,8.414,11,"2018-01-29 15:33:49","2018-01-29 15:33:49"
"CK20180129424",273,3109,"热卷",1,7.105,11,"2018-01-29 15:34:02","2018-01-29 15:34:02"
"CK20180129434",1400,3115,"冷卷",36,174.237,11,"2018-01-29 15:34:14","2018-01-29 15:34:14"
"CK20180129431",1400,3120,"酸洗卷",26,165.123,11,"2018-01-29 15:34:42","2018-01-29 15:34:42"
"CK20180129445",1400,3115,"冷卷",51,191.296,11,"2018-01-29 15:36:25","2018-01-29 15:36:25"
"CKW20180129070",1774,33320,"镀铝锌卷",11,63.448,11,"2018-01-29 15:43:20","2018-01-29 15:43:20"
"CK20180129378",435,3109,"热卷",2,42.231,11,"2018-01-29 15:07:31","2018-01-29 15:48:32"
"CK20180129423",435,3109,"热卷",1,21.091,11,"2018-01-29 15:34:05","2018-01-29 15:48:51"
"CK20180129380",435,3109,"热卷",2,40.278,11,"2018-01-29 15:07:52","2018-01-29 15:49:20"
